Date,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Provinsi
2023-01-15,47.46999999999999,42.188571428571436,42.597142857142856,Riau
2023-01-16,47.46999999999999,41.56,43.21,Riau
2023-01-17,47.46999999999999,42.05,42.09,Riau
2023-01-18,50.38,42.2769387755102,43.64,Riau
2023-01-19,47.885714285714286,42.0,42.92,Riau
2023-01-20,47.94510204081632,42.44,42.14,Riau
2023-01-21,49.04,41.75,44.66,Riau
2023-01-22,48.23725947521866,41.64,43.036734693877555,Riau
2023-01-23,48.34686797167847,41.39,43.23,Riau
2023-01-24,48.47213482477539,43.05,43.53,Riau
2023-01-25,48.61529694260044,42.94,43.5,Riau
2023-01-26,48.36319650582908,42.53,43.97,Riau
2023-01-27,48.431408251559766,43.14,44.48,Riau
2023-01-28,49.16,42.05,44.31,Riau
2023-01-29,48.51802342452312,42.39142857142857,40.15,Riau
2023-01-30,50.55,43.99,46.26,Riau
2023-01-31,51.5,43.77,47.4,Riau
2023-02-01,52.54,43.34,44.57,Riau
2023-02-02,53.91,43.29,45.23,Riau
2023-02-03,53.24,43.59,46.57,Riau
2023-02-04,53.08,42.49,43.97,Riau
2023-02-05,51.57,42.28,42.57,Riau
2023-02-06,52.43,42.75,42.57,Riau
2023-02-07,51.49,43.49,44.27,Riau
2023-02-08,53.46,43.69,42.57,Riau
2023-02-09,55.43,42.74,44.71,Riau
2023-02-10,55.78,42.57,44.82,Riau
2023-02-11,55.36,43.34,44.15,Riau
2023-02-12,55.5,42.13,41.39,Riau
2023-02-13,57.08,42.67,43.64,Riau
2023-02-14,54.4,42.58,42.75,Riau
